#      HRS         e              PA       FUV_asy       eFUV_asy     FUV_D25       eFUV_D25     NUV_asy       eNUV_asy     NUV_D25       eNUV_D25     g_asy         eg_asy       g_D25         eg_D25       r_asy         er_asy       r_D25         er_D25       i_asy         ei_asy       i_D25         ei_D25         log(M*)
       148         0.73          -55       15.092        0.050        15.188        0.051        14.782        0.030        14.898        0.031        12.837        0.032        13.036        0.035        12.335        0.023        12.570        0.024        12.075        0.037        12.343        0.037           9.25   
       149         0.70           89       16.682        0.052        16.734        0.053        15.829        0.032        15.946        0.036        12.193        0.034        12.323        0.040        11.468        0.021        11.568        0.024        11.057        0.031        11.142        0.034          10.04   
       150         0.39          -52       15.704        0.076        15.868        0.079        14.517        0.254        14.544        0.046         9.250        0.032         9.542        0.033         8.473        0.023         8.773        0.023         8.107        0.041         8.352        0.040          11.22   
       151         0.34           57       15.914        0.050        15.923        0.051        15.383        0.030        15.402        0.031        12.518        0.032        12.633        0.032        11.896        0.022        12.025        0.022        11.537        0.037        11.690        0.033           9.68   
       152         0.08           87       15.320        0.051        15.358        0.053        14.917        0.030        14.931        0.030        12.669        0.031        12.719        0.031        12.184        0.021        12.231        0.023        11.924        0.032        11.981        0.033           9.30   
       153         0.11          -73       15.627        0.050        15.627        0.051        15.151        0.030        15.154        0.030        12.903        0.032        12.932        0.036        12.355        0.021        12.399        0.023        12.058        0.033        12.110        0.036           9.34   
       154         0.05           -4       15.030        0.050        15.037        0.050        14.716        0.030        14.730        0.033        12.744        0.034        12.779        0.040        12.286        0.022        12.337        0.027        12.021        0.040        12.077        0.046           9.49   
       155         0.58           50       18.214        0.074        18.253        0.080        16.515        0.039        16.633        0.040        11.635        0.031        11.720        0.031        10.846        0.021        10.949        0.020        10.412        0.033        10.539        0.030          10.65   
       156         0.65          -46       17.280        0.052        17.333        0.056        15.926        0.030        15.982        0.032        11.706        0.030        11.742        0.030        10.974        0.020        11.010        0.020        10.563        0.030        10.599        0.030          10.24   
       157         0.51            8       14.826        0.050        14.875        0.050        14.408        0.030        14.457        0.031        12.485        0.030        12.526        0.031        12.042        0.020        12.079        0.021        11.801        0.030        11.849        0.031           9.28   
       158         0.82           18       16.013        0.051        16.043        0.055        15.602        0.030        15.656        0.031        13.623        0.030        13.672        0.031        13.201        0.021        13.280        0.022        12.972        0.034        13.053        0.035           9.04   
       159         0.49          -88       16.329        0.050        16.360        0.052        15.267        0.031        15.349        0.033        11.843        0.031        11.967        0.032        11.301        0.024        11.413        0.026        10.899        0.035        11.041        0.036          10.17   
       160         0.11           60       15.210        0.051        15.234        0.054        14.824        0.030        14.832        0.030        12.351        0.030        12.370        0.033        11.814        0.020        11.831        0.023        11.506        0.030        11.534        0.031           9.83   
       161         0.53          -83        ...          ...           ...          ...          15.513        0.036        15.589        0.054        10.496        0.031        10.551        0.033         9.713        0.020         9.772        0.021         9.306        0.037         9.353        0.038          10.79   
       162         0.28           13       18.203        0.093        18.267        0.133        16.179        0.032        16.286        0.033        11.341        0.032        11.427        0.033        10.639        0.021        10.739        0.022        10.257        0.031        10.355        0.031          10.30   
       163         0.60           27       15.344        0.051        15.476        0.054        14.572        0.031        14.728        0.033        10.674        0.031        10.845        0.033         9.970        0.021        10.131        0.022         9.531        0.031         9.686        0.033          10.66   
       164         0.10          -68       18.939        0.149        19.010        0.097        17.292        0.034        17.369        0.048        12.384        0.030        12.430        0.031        11.673        0.021        11.721        0.021        11.287        0.030        11.337        0.031           9.91   
       165         0.72          -48       17.541        0.056        17.582        0.067        17.040        0.030        17.058        0.032        14.558        0.032        14.621        0.034        14.019        0.022        14.066        0.023        13.776        0.032        13.812        0.034           8.86   
       166         0.58           85       17.320        0.052        17.400        0.069        16.041        0.034        16.089        0.042        11.047        0.030        11.082        0.031        10.364        0.020        10.400        0.020         9.979        0.030        10.015        0.031          10.67   
       167         0.77          -75       17.723        0.053        17.769        0.057        16.920        0.034        16.979        0.037        13.282        0.030        13.304        0.033        12.535        0.021        12.559        0.024        12.084        0.032        12.119        0.034           9.96   
       168         0.50           -6       15.778        0.050        15.893        0.051        15.509        0.030        15.609        0.031        13.965        0.032        14.114        0.031        13.675        0.030        13.801        0.024        13.499        0.037        13.606        0.033           8.64   
       169         0.28           59       15.923        0.057        16.021        0.062        15.566        0.031        15.702        0.036        13.412        0.031        13.766        0.043        12.886        0.026        13.291        0.038        12.679        0.051        13.075        0.047           9.28   
       170         0.36           -9        ...          ...           ...          ...          14.936        0.031        14.964        0.034        10.554        0.030        10.622        0.032         9.806        0.022         9.867        0.027         9.411        0.031         9.470        0.032          10.70   
       171         0.34          -10       16.424        0.050        16.454        0.051        15.656        0.030        15.690        0.031        12.962        0.031        13.046        0.031        12.386        0.023        12.476        0.022        12.040        0.030        12.133        0.031           9.69   
       172         0.56           40       17.884        0.056        17.920        0.065        16.445        0.031        16.556        0.034        12.642        0.030        12.739        0.031        11.960        0.021        12.049        0.022        11.563        0.032        11.660        0.033           9.77   
       173         0.05          -89       15.867        0.051        15.907        0.052        14.916        0.032        15.100        0.031        11.062        0.031        11.256        0.032        10.355        0.020        10.533        0.021         9.971        0.034        10.156        0.032          10.43   
       174         0.24          -70       17.372        0.197        17.411        0.082        15.988        0.031        16.038        0.037        10.926        0.031        11.067        0.030        10.105        0.021        10.241        0.021         9.613        0.042         9.788        0.031          10.78   
       175         0.58           13       18.196        0.063        18.224        0.084        16.696        0.033        16.796        0.034        11.702        0.031        11.776        0.030        10.914        0.020        10.986        0.020        10.456        0.031        10.543        0.030          10.40   
       176         0.68           88       17.954        0.054        17.951        0.089        16.524        0.032        16.563        0.037        11.639        0.031        11.748        0.030        10.867        0.020        10.972        0.020        10.428        0.030        10.535        0.030          10.64   
       177         0.34            1       15.056        0.054        15.122        0.054        14.707        0.030        14.740        0.030        12.759        0.032        12.807        0.034        12.326        0.023        12.373        0.023        12.052        0.037        12.112        0.037           9.20   
       178         0.23          -31        ...          ...           ...          ...          13.825        0.099        14.080        0.050         8.919        0.032         9.090        0.033         8.058        0.024         8.279        0.022         7.617        0.032         7.817        0.031          11.59   
       179         0.39           89       17.340        0.091        17.376        0.069        15.776        0.069        15.883        0.041        10.668        0.031        10.861        0.031         9.899        0.020        10.074        0.021         9.486        0.031         9.662        0.030          10.71   
       180         0.08           75       17.463        0.059        17.503        0.106        16.226        0.034        16.296        0.038        11.015        0.030        11.126        0.031        10.248        0.020        10.363        0.021         9.828        0.030         9.936        0.031          10.58   
       181         0.16          -23       18.278        0.079        18.275        0.079        16.594        0.031        16.647        0.034        11.918        0.030        11.970        0.031        11.233        0.021        11.299        0.021        10.829        0.031        10.887        0.031          10.09   
       182         0.48           -5       15.433        0.051        15.485        0.055        14.984        0.030        15.058        0.033        12.782        0.030        12.841        0.032        12.273        0.020        12.327        0.022        11.943        0.031        12.006        0.034           9.38   
       183         0.24          -29       14.531        0.052        14.633        0.053        13.769        0.057        13.863        0.036         9.256        0.031         9.355        0.033         8.456        0.028         8.554        0.026         8.019        0.032         8.114        0.033          11.36   
       184         0.48          -30       17.842        0.062        17.890        0.057        16.781        0.031        16.882        0.032        13.021        0.032        13.184        0.032        12.345        0.021        12.510        0.022        11.989        0.033        12.155        0.032           9.55   
       185         0.05           70       16.835        0.072        16.971        0.070        16.269        0.030        16.353        0.032        12.195        0.039        12.667        0.034        11.470        0.040        11.906        0.025        11.045        0.034        11.475        0.033          10.06   
       186         0.13           -4        ...          ...           ...          ...          ...           ...           ...          ...          10.409        0.036        10.534        0.037         9.627        0.022         9.783        0.022         9.246        0.033         9.379        0.033          10.88   
       187         0.21           42       13.972        0.051        14.071        0.052        13.803        0.030        13.837        0.030        11.986        0.036        12.021        0.043        11.591        0.022        11.618        0.026        11.352        0.034        11.386        0.038           9.41   
       188         0.50          -44       15.071        0.050        15.125        0.050        14.623        0.030        14.688        0.031        12.470        0.031        12.568        0.032        12.009        0.024        12.102        0.025        11.725        0.033        11.833        0.036           9.37   
       189         0.36          -73       15.913        0.053        15.999        0.059        15.468        0.030        15.539        0.031        13.145        0.036        13.483        0.034        12.733        0.024        13.029        0.025        12.507        0.036        12.804        0.034           8.94   
       190         0.50          -37       13.799        0.050        13.875        0.051        13.153        0.030        13.169        0.031         9.975        0.030        10.011        0.031         9.245        0.022         9.280        0.023         8.795        0.031         8.832        0.032          10.98   
       191         0.40           46       16.580        0.050        16.612        0.051        16.212        0.030        16.247        0.031        14.238        0.031        14.264        0.033        13.830        0.021        13.860        0.023        13.559        0.034        13.599        0.037           8.56   
       192         0.24          -64       18.396        0.066        18.390        0.074        17.214        0.033        17.308        0.034        13.278        0.034        13.407        0.038        12.646        0.022        12.749        0.023        12.288        0.031        12.407        0.032           9.39   
       193         0.35           38       14.970        0.064        15.114        0.054        14.775        0.030        14.805        0.031        12.977        0.031        13.048        0.033        12.580        0.021        12.645        0.022        12.319        0.032        12.428        0.034           9.03   
       194         0.84           82       14.610        0.050        14.672        0.050        14.000        0.030        14.062        0.030        11.029        0.030        11.089        0.032        10.353        0.021        10.412        0.026         9.923        0.030         9.985        0.033          10.46   
       195         0.51            7        ...          ...           ...          ...          17.973        0.089        17.956        0.050        13.114        0.033        13.328        0.032        12.387        0.022        12.597        0.022        11.980        0.043        12.196        0.034           9.66   
       196         0.31          -33       14.137        0.050        14.193        0.050        13.822        0.030        13.883        0.030        12.093        0.030        12.130        0.032        11.733        0.021        11.779        0.021        11.566        0.032        11.596        0.034           9.21   
       197         0.72           35       15.421        0.050        15.507        0.050        14.979        0.030        15.070        0.031        12.608        0.031        12.688        0.033        12.131        0.020        12.205        0.021        11.817        0.030        11.885        0.031           9.38   
       198         0.46           51       15.683        0.053        15.753        0.058        15.341        0.030        15.357        0.031        12.888        0.032        12.920        0.038        12.383        0.021        12.424        0.022        12.074        0.037        12.125        0.051           9.29   
       199         0.30          -22       16.291        0.053        16.324        0.060        15.878        0.030        15.903        0.031        13.391        0.033        13.565        0.034        12.847        0.040        13.032        0.031        12.587        0.035        12.758        0.034           9.07   
       200         0.67          -67       16.820        0.056        16.820        0.055        15.247        0.056        15.297        0.038        10.192        0.030        10.321        0.030         9.423        0.022         9.536        0.022         8.977        0.031         9.093        0.031          10.96   
       201         0.66           67       15.066        0.058        15.254        0.055        14.612        0.030        14.701        0.031        10.942        0.030        11.068        0.030        10.165        0.020        10.276        0.021         9.719        0.031         9.814        0.031          10.67   
       202         0.05           86       21.363        0.294        21.465        0.275        19.542        0.057        19.630        0.088        14.700        0.033        14.817        0.037        14.006        0.028        14.111        0.030        13.575        0.034        13.688        0.036           9.02   
       203         0.59          -24       13.907        0.050        13.971        0.050        13.473        0.030        13.531        0.030        11.987        0.030        12.076        0.031        11.649        0.020        11.760        0.021        11.490        0.032        11.625        0.031           9.21   
       204         0.33            1       13.100        0.050        13.142        0.050        12.688        0.030        12.742        0.031        10.357        0.030        10.442        0.031         9.799        0.020         9.882        0.021         9.448        0.031         9.546        0.032          10.45   
       205         0.63          -55       13.591        0.050        13.692        0.051        13.195        0.030        13.283        0.031        10.780        0.030        10.871        0.030        10.216        0.020        10.297        0.021         9.890        0.031         9.968        0.034          10.26   
       206         0.28           19       16.664        0.051        16.684        0.052        16.107        0.030        16.131        0.031        13.464        0.033        13.571        0.034        12.817        0.021        12.933        0.023        12.531        0.034        12.635        0.032           9.24   
       207         0.14           43       15.955        0.053        15.968        0.057        15.234        0.032        15.287        0.031        12.273        0.030        12.384        0.031        11.659        0.021        11.769        0.022        11.354        0.037        11.444        0.041           9.69   
       208         0.23          -33       14.895        0.051        14.906        0.056        14.266        0.030        14.277        0.032        10.622        0.031        10.685        0.032         9.876        0.020         9.946        0.021         9.427        0.030         9.510        0.031          10.74   
       209         0.56           78       17.833        0.090        17.899        0.075        16.025        0.060        16.165        0.033        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       210         0.60           -1       17.971        0.054        17.982        0.071        16.552        0.031        16.567        0.034        12.106        0.030        12.117        0.031        11.430        0.020        11.439        0.020        11.028        0.030        11.042        0.030           9.98   
       211         0.15          -48       16.121        0.057        16.148        0.088        15.276        0.050        15.280        0.039        10.332        0.030        10.466        0.031         9.567        0.021         9.705        0.022         9.174        0.032         9.300        0.032          10.80   
       212         0.21           41       14.676        0.051        14.763        0.054        14.408        0.030        14.485        0.032        12.851        0.031        12.995        0.034        12.477        0.028        12.708        0.026        12.262        0.036        12.529        0.037           9.14   
       213         0.82          -43       14.128        0.050        14.223        0.050        13.575        0.030        13.654        0.031        10.091        0.030        10.132        0.031         9.280        0.020         9.313        0.022         8.818        0.030         8.844        0.031          11.12   
       214         0.53           48       17.824        0.057        17.833        0.101        16.594        0.034        16.607        0.052        11.754        0.030        11.791        0.030        11.016        0.020        11.057        0.021        10.592        0.030        10.641        0.030          10.25   
       215         0.28          -90       15.462        0.050        15.493        0.051        14.635        0.030        14.667        0.030        11.788        0.031        11.899        0.032        11.157        0.020        11.268        0.021        10.847        0.031        10.963        0.031           9.92   
       216         0.60           25       15.605        0.050        15.634        0.051        14.702        0.030        14.740        0.031        11.426        0.031        11.505        0.033        10.697        0.020        10.758        0.021        10.299        0.030        10.364        0.031          10.33   
       217         0.61           28       14.909        0.050        14.960        0.053        13.659        0.030        13.682        0.032        10.061        0.030        10.096        0.032         9.462        0.020         9.485        0.020         9.077        0.030         9.099        0.030          10.66   
       218         0.69          -20       17.753        0.056        17.832        0.059        16.264        0.040        16.409        0.035        11.356        0.030        11.449        0.030        10.557        0.020        10.651        0.020        10.146        0.030        10.236        0.030          10.48   
       219         0.29           31       18.420        0.061        18.430        0.104        16.515        0.050        16.595        0.069        11.915        0.031        11.964        0.033        11.146        0.020        11.202        0.021        10.758        0.032        10.802        0.034          10.19   
       220         0.22           88       14.837        0.051        14.855        0.052        14.022        0.030        14.072        0.032        10.067        0.030        10.139        0.031         9.314        0.020         9.385        0.021         8.889        0.031         8.969        0.032          10.94   
       221         0.27          -28       16.757        0.056        16.803        0.052        15.710        0.030        15.772        0.032        12.267        0.030        12.389        0.032        11.547        0.020        11.668        0.022        11.144        0.030        11.271        0.032           9.99   
       222         0.32            7       18.249        0.052        18.223        0.061        17.045        0.033        17.093        0.037        13.419        0.031        13.549        0.032        12.830        0.022        12.949        0.023        12.452        0.032        12.603        0.032           9.30   
       223         0.80           57       17.492        0.051        17.592        0.053        16.999        0.031        17.103        0.033        14.559        0.030        14.684        0.033        14.024        0.027        14.176        0.028        13.751        0.031        13.901        0.034           8.62   
       224         0.68          -63        ...          ...           ...          ...          16.775        0.037        16.824        0.047        12.172        0.032        12.289        0.033        11.391        0.024        11.514        0.022        10.908        0.030        11.039        0.030          10.22   
       225         0.52          -43       17.484        0.097        17.420        0.077        16.701        0.031        16.761        0.033        13.971        0.031        14.088        0.032        13.517        0.022        13.647        0.024        13.250        0.032        13.391        0.034           8.72   
       226         0.47           40       16.502        0.050        16.553        0.052        16.068        0.030        16.117        0.032        13.513        0.030        13.542        0.031        12.881        0.020        12.908        0.021        12.520        0.030        12.549        0.031           9.31   
       227         0.70          -84       13.816        0.050        14.000        0.052        13.479        0.030        13.656        0.030        11.991        0.030        12.033        0.031        11.641        0.020        11.683        0.021        11.463        0.032        11.496        0.035           9.16   
       228         0.20          -25        ...          ...           ...          ...          21.013        0.133        21.344        0.161        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       229         0.40          -85        ...          ...           ...          ...          16.725        0.031        16.817        0.031        13.982        0.031        14.088        0.033        13.451        0.022        13.547        0.024        13.139        0.034        13.273        0.034           8.89   
       230         0.38          -70       15.337        0.051        15.358        0.055        14.903        0.030        14.932        0.030        12.660        0.030        12.705        0.031        12.230        0.022        12.277        0.023        12.008        0.030        12.056        0.031           9.15   
       231         0.21          -51       17.312        0.052        17.425        0.071        15.952        0.032        16.007        0.036        10.916        0.031        10.996        0.031        10.143        0.024        10.212        0.022         9.733        0.031         9.808        0.031          10.62   
       232         0.56           40       18.111        0.062        18.106        0.111        16.337        0.032        16.344        0.038        12.345        0.031        12.382        0.034        11.744        0.021        11.772        0.022        11.353        0.031        11.389        0.032           9.77   
       233         0.77            2       18.146        0.053        18.160        0.063        17.158        0.031        17.170        0.039        13.388        0.031        13.421        0.037        12.649        0.021        12.685        0.021        12.221        0.030        12.244        0.031           9.60   
       234         0.15          -71        ...          ...           ...          ...          ...           ...           ...          ...          11.512        0.037        11.573        0.037        10.765        0.028        10.816        0.030        10.372        0.030        10.405        0.031          10.33   
       235         0.20          -42        ...          ...           ...          ...          16.700        0.045        16.709        0.042        11.745        0.044        12.070        0.031        11.189        0.034        11.428        0.022        10.810        0.042        11.031        0.032           9.93   
       236         0.10          -20       16.173        0.118        16.302        0.070        15.122        0.049        15.171        0.044        10.202        0.034        10.306        0.039         9.414        0.029         9.517        0.028         8.956        0.033         9.061        0.036          10.99   
       237         0.25           14       15.524        0.054        15.554        0.052        15.062        0.030        15.088        0.031        12.704        0.031        12.798        0.032        12.112        0.021        12.221        0.021        11.792        0.031        11.920        0.032           9.51   
       238         0.22          -76        ...          ...           ...          ...          ...           ...           ...          ...          13.823        0.074        14.002        0.057        13.484        0.061        13.654        0.054        13.286        0.062        13.445        0.056           8.46   
       239         0.80          -24       16.487        0.050        16.621        0.051        15.749        0.030        15.936        0.031        12.805        0.031        12.959        0.032        12.204        0.020        12.356        0.022        11.825        0.031        11.995        0.032           9.57   
       240         0.27          -55       18.566        0.096        18.635        0.073        16.705        0.034        16.777        0.038        11.859        0.030        11.970        0.031        11.158        0.020        11.291        0.021        10.756        0.030        10.881        0.031          10.13   
       241         0.32          -35        ...          ...           ...          ...          14.720        0.041        14.789        0.042         9.833        0.033         9.954        0.039         9.138        0.025         9.227        0.034         8.698        0.034         8.789        0.043          10.98   
       242         0.41          -55       14.717        0.051        14.835        0.053        14.373        0.030        14.436        0.031        11.962        0.030        11.998        0.031        11.382        0.020        11.412        0.021        11.024        0.031        11.061        0.031           9.85   
       243         0.17           46        ...          ...           ...          ...          15.829        0.037        16.033        0.041        10.893        0.034        11.156        0.032        10.160        0.024        10.423        0.022         9.744        0.034         9.980        0.032          10.57   
       244         0.28          -80       15.058        0.050        15.087        0.050        14.271        0.030        14.324        0.030        11.369        0.045        11.590        0.035        10.725        0.034        10.946        0.029        10.357        0.046        10.600        0.037          10.19   
       245         0.19          -79       15.162        0.055        15.334        0.051        14.470        0.038        14.676        0.033         9.430        0.032         9.763        0.030         8.625        0.021         8.924        0.020         8.159        0.032         8.465        0.030          11.34   
       246         0.34           75       14.040        0.050        14.126        0.050        13.582        0.030        13.656        0.030        11.010        0.034        11.155        0.031        10.440        0.022        10.589        0.021        10.140        0.032        10.270        0.031          10.13   
       247         0.42          -58       13.686        0.050        13.775        0.051        13.250        0.030        13.318        0.030        10.873        0.030        10.946        0.030        10.339        0.020        10.406        0.020        10.036        0.030        10.099        0.030          10.14   
       248         0.26          -81       18.043        0.075        18.235        0.061        16.372        0.039        16.665        0.034        11.900        0.033        12.032        0.031        11.213        0.020        11.359        0.021        10.830        0.030        10.972        0.031          10.05   
       249         0.66           71       18.271        0.052        18.284        0.060        16.873        0.034        16.984        0.034        13.687        0.032        13.785        0.034        13.140        0.022        13.249        0.024        12.854        0.030        12.966        0.032           9.01   
       250         0.06          -89       17.585        0.059        17.603        0.095        15.872        0.049        15.963        0.067        10.970        0.031        11.036        0.031        10.198        0.022        10.285        0.021         9.796        0.031         9.862        0.031          10.58   
       251         0.65           44       14.687        0.050        14.792        0.050        14.097        0.030        14.209        0.030        11.078        0.030        11.166        0.030        10.371        0.021        10.452        0.020         9.933        0.030        10.004        0.030          10.71   
       252         0.43            2       15.374        0.050        15.537        0.051        14.971        0.030        15.124        0.032        13.241        0.031        13.395        0.033        12.844        0.022        13.009        0.025        12.634        0.031        12.800        0.034           9.13   
       253         0.60           22       16.521        0.050        16.561        0.052        15.597        0.031        15.668        0.031        11.900        0.030        11.970        0.030        11.224        0.020        11.295        0.021        10.826        0.031        10.909        0.030          10.26   
       254         0.24          -16        ...          ...           ...          ...          ...           ...           ...          ...          11.312        0.032        11.353        0.037        10.646        0.022        10.704        0.026        10.321        0.031        10.367        0.034          10.19   
       255         0.10          -40       14.328        0.051        14.374        0.052        14.167        0.031        14.193        0.032        12.596        0.040        12.635        0.057        12.285        0.029        12.336        0.039        12.092        0.041        12.143        0.059           8.97   
       256         0.22           71       13.903        0.050        13.944        0.050        13.409        0.030        13.439        0.030        11.250        0.034        11.420        0.031        10.660        0.023        10.902        0.021        10.381        0.037        10.641        0.031           9.98   
       257         0.60          -14       16.079        0.050        16.734        0.053        15.151        0.053        15.712        0.032        11.032        0.032        11.207        0.031        10.312        0.023        10.444        0.021         9.882        0.032        10.011        0.031          10.52   
       258         0.31           63       16.641        0.066        16.683        0.081        14.676        0.065        14.839        0.035         9.762        0.034         9.921        0.034         9.019        0.020         9.170        0.021         8.591        0.032         8.743        0.032          11.10   
       259         0.21           50        ...          ...           ...          ...          ...           ...           ...          ...          12.353        0.030        12.408        0.031        11.960        0.021        12.017        0.026        11.705        0.035        11.769        0.046           9.27   
       260         0.65           28       17.768        0.061        17.855        0.063        15.865        0.032        15.990        0.032        11.208        0.030        11.306        0.030        10.470        0.020        10.555        0.020        10.058        0.030        10.147        0.030          10.45   
       261         0.79            1       17.625        0.052        17.669        0.056        16.933        0.031        16.974        0.034        13.443        0.031        13.551        0.032        12.828        0.021        12.931        0.022        12.370        0.032        12.457        0.033           9.42   
       262         0.24          -89       13.753        0.050        13.788        0.051        13.409        0.030        13.440        0.030        11.903        0.030        11.915        0.031        11.586        0.020        11.595        0.021        11.420        0.030        11.426        0.031           9.22   
       263         0.30           34       13.071        0.050        13.323        0.051        12.870        0.030        13.011        0.031         9.713        0.030         9.819        0.031         9.009        0.021         9.103        0.022         8.673        0.032         8.740        0.042          10.92   
       264         0.80           -9       18.116        0.052        18.238        0.058        17.468        0.033        17.647        0.038        14.310        0.030        14.557        0.037        13.660        0.021        13.932        0.030        13.309        0.032        13.582        0.038           9.06   
       265         0.24          -49        ...          ...           ...          ...          15.188        0.030        15.358        0.036        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       266         0.28           89       13.542        0.050        13.570        0.051        13.233        0.030        13.251        0.030        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       267         0.67           30       15.629        0.050        15.783        0.051        15.179        0.030        15.339        0.031        12.522        0.034        12.752        0.034        11.942        0.028        12.213        0.026        11.676        0.049        11.935        0.041           9.50   
       268         0.62          -61       16.028        0.050        16.085        0.051        15.501        0.030        15.572        0.031        12.995        0.030        13.073        0.030        12.383        0.022        12.456        0.021        12.065        0.032        12.147        0.031           9.42   
       269         0.48           23       17.706        0.065        17.762        0.154        16.189        0.032        16.291        0.038        11.128        0.030        11.170        0.030        10.301        0.021        10.351        0.021         9.878        0.030         9.928        0.030          10.62   
       270         0.47           80       17.364        0.133        17.505        0.124        15.141        0.086        15.354        0.042        10.287        0.034        10.457        0.034         9.527        0.023         9.673        0.024         9.080        0.035         9.235        0.034          10.93   
       271         0.78          -22       16.590        0.055        16.922        0.069        16.188        0.031        16.357        0.033        13.141        0.031        13.362        0.034        12.543        0.020        12.763        0.024        12.234        0.031        12.462        0.034           9.33   
       272         0.76           28       17.417        0.084        17.505        0.093        15.262        0.036        15.439        0.034        10.688        0.030        10.779        0.030         9.977        0.021        10.056        0.022         9.589        0.030         9.677        0.030          10.59   
       273         0.74          -47       16.047        0.050        16.085        0.051        15.447        0.031        15.485        0.032        12.425        0.030        12.462        0.031        11.754        0.020        11.792        0.020        11.338        0.031        11.385        0.032           9.88   
       274         0.48          -34       16.896        0.063        17.042        0.055        15.848        0.041        16.159        0.035        11.547        0.031        11.937        0.032        10.804        0.027        11.228        0.022        10.443        0.046        10.826        0.036          10.25   
       275         0.08           36       13.685        0.050        13.728        0.051        13.412        0.030        13.445        0.031        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       276         0.20           64       15.334        0.050        15.388        0.053        14.902        0.030        14.947        0.032        12.774        0.030        12.820        0.031        12.241        0.021        12.291        0.021        11.962        0.031        12.017        0.032           9.35   
       277         0.36           60       18.037        0.084        17.996        0.093        17.679        0.035        17.705        0.035        14.621        0.031        14.637        0.034        13.943        0.023        13.971        0.024        13.588        0.034        13.611        0.034           8.91   
       278         0.77          -13       18.845        0.694        18.879        0.126        18.117        0.043        18.187        0.050        13.716        0.031        13.837        0.032        13.031        0.020        13.134        0.021        12.621        0.031        12.727        0.032           9.31   
       279         0.51          -20       14.894        0.050        15.036        0.051        14.546        0.030        14.690        0.031        12.637        0.039        12.801        0.046        12.209        0.032        12.377        0.042        11.936        0.054        12.120        0.046           9.24   
       280         0.52          -87       17.122        0.050        17.279        0.053        16.485        0.031        16.628        0.032        13.419        0.030        13.497        0.031        12.733        0.025        12.821        0.022        12.322        0.032        12.400        0.033           9.48   
       281         0.05           84       17.144        0.144        17.344        0.077        16.915        0.033        17.032        0.036        14.282        0.047        14.627        0.045        13.744        0.039        14.135        0.039        13.439        0.048        13.853        0.047           8.77   
       282         0.30            5        ...          ...           ...          ...          18.954        0.038        19.362        0.088        14.110        0.030        14.347        0.059        13.395        0.020        13.618        0.051        12.949        0.030        13.205        0.060           9.30   
       283         0.57          -51       14.619        0.053        14.822        0.053        14.192        0.030        14.306        0.031        12.107        0.030        12.174        0.030        11.640        0.021        11.690        0.021        11.369        0.031        11.426        0.030           9.49   
       284         0.63          -12        ...          ...           ...          ...          16.700        0.039        16.986        0.037        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       285         0.68           83       17.249        0.143        17.308        0.079        16.355        0.035        16.399        0.038        11.635        0.030        11.685        0.032        10.830        0.021        10.879        0.022        10.367        0.031        10.420        0.032          10.46   
       286         0.75           87       16.867        0.122        16.926        0.069        16.296        0.040        16.322        0.044        11.700        0.030        11.716        0.034        10.899        0.020        10.910        0.022        10.413        0.030        10.433        0.030          10.45   
       287         0.29           22       15.146        0.050        15.161        0.050        14.602        0.030        14.624        0.030        12.303        0.030        12.342        0.031        11.779        0.020        11.829        0.021        11.487        0.031        11.554        0.032           9.53   
       288         0.58           15        ...          ...           ...          ...          14.995        0.031        15.234        0.032        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       289         0.39          -25       14.732        0.054        14.918        0.055        14.207        0.030        14.339        0.032        ...           ...           ...          ...           ...          ...          ...           ...           ...          ...           ...          ...             ...    
       290         0.60          -79       16.503        0.097        16.649        0.059        15.931        0.031        16.006        0.031        13.206        0.030        13.251        0.030        12.641        0.020        12.691        0.021        12.335        0.031        12.395        0.031           9.23   
       291         0.27          -39       19.376        0.124        19.471        0.144        17.644        0.039        17.775        0.039        12.791        0.034        12.950        0.032        12.057        0.023        12.209        0.022        11.673        0.032        11.814        0.031           9.86   
       292         0.24           74       16.547        0.055        16.981        0.067        16.165        0.058        16.459        0.037        13.178        0.031        13.266        0.032        12.332        0.021        12.434        0.021        11.958        0.034        12.036        0.031           9.80   
       293         0.19          -70       14.297        0.050        14.354        0.052        14.018        0.030        14.081        0.032        12.344        0.030        12.407        0.031        11.975        0.021        12.039        0.022        11.786        0.030        11.860        0.031           9.07   
       294         0.75          -19       17.591        0.065        17.620        0.088        16.926        0.036        17.059        0.034        13.799        0.031        13.878        0.033        13.132        0.020        13.209        0.022        12.740        0.030        12.838        0.031           9.56   
       295         0.26          -79       13.460        0.050        13.725        0.052        13.078        0.030        13.213        0.032        10.573        0.030        10.650        0.031         9.950        0.021        10.025        0.021         9.599        0.030         9.677        0.031          10.43   
