# HRS   CGCG      VCC   UGC    NGC    IC     R.A.           Dec.           Type   D_25    E(B-V)   Dist.   Tile-Name_NUV                texp_NUV    Tile-Name_FUV                texp_FUV    NOTE
  163   70-097    1043  7574   4438   ...    12:27:45.59    +13:00:31.8    5      8.12    0.0277   17.0    NGA_Virgo_MOS09              4536.45     NGA_Virgo_MOS09              1403.2      ...
  164   70-099    1047  7581   4440   ...    12:27:53.57    +12:17:35.6    3      2.01    0.027    17.0    NGA_Virgo_MOS02              2702.15     NGA_Virgo_MOS02              1604.05     ...
  165   42-117    1048  7579   ...    ...    12:27:55.39    +05:43:16.4    10     1.89    0.0197   23.0    GI6_001048_GUVICS048         1680.0      AIS_228                      217.0       ...
  166   70-100    1062  7583   4442   ...    12:28:03.89    +09:48:13.0    1      5.05    0.0221   23.0    GI1_079009_Group4            2009.15     GI1_079009_Group4            2008.15     ...
  167   70-104    1086  7587   4445   ...    12:28:15.94    +09:26:10.7    4      3.2     0.0237   23.0    GI1_079009_Group4            2009.15     GI1_079009_Group4            2008.15     ...
  168   70-108    1091  7590   ...    ...    12:28:18.77    +08:43:46.1    6      1.76    0.0215   23.0    GI2_125008_AGESstrip1_08     1635.0      GI2_125008_AGESstrip1_08     1635.0      ...
  169   99-063    ...   7595   ...    3391   12:28:27.28    +18:24:55.1    8      1.1     0.0323   24.3    GI6_012059_HRS169            1609.05     AIS_222                      103.0       ...
  170   99-062    1110  7594   4450   ...    12:28:29.63    +17:05:05.8    4      6.15    0.0279   17.0    NGA_NGC4450                  381.0       ...                          ...         F  
  171   70-111    1118  7600   4451   ...    12:28:40.55    +09:15:32.2    6      1.96    0.0188   23.0    GI5_057003_NGC4445           5202.55     GI5_057003_NGC4445           3130.85     ...
  172   99-065    1126  7602   ...    3392   12:28:43.26    +14:59:58.2    5      2.92    0.0369   17.0    GI1_079012_Group5            1616.1      GI1_079012_Group5            1616.1      ...
  173   42-124    1145  7609   4457   ...    12:28:59.01    +03:34:14.2    5      2.92    0.0217   17.0    GI1_079010_NGC4457           5723.25     GI1_079010_NGC4457           2496.0      ...
  174   70-116    1154  7614   4459   ...    12:29:00.03    +13:58:42.9    1      3.36    0.0455   17.0    GI1_109011_NGC4477           1720.4      GI1_109011_NGC4477           1720.4      ...
  175   70-115    1158  7613   4461   ...    12:29:03.01    +13:11:01.5    1      3.52    0.0232   17.0    NGA_Virgo_MOS09              4536.45     NGA_Virgo_MOS09              1403.2      ...
  176   70-121    1190  7622   4469   ...    12:29:28.03    +08:44:59.7    2      4.33    0.0201   23.0    GI2_125008_AGESstrip1_08     1635.0      GI2_125008_AGESstrip1_08     1635.0      ...
  177   42-132    1205  7627   4470   ...    12:29:37.78    +07:49:27.1    3      1.84    0.0241   17.0    GI6_001052_GUVICS052         1628.05     AIS_228                      104.0       ...
  178   42-134    1226  7629   4472   ...    12:29:46.76    +08:00:01.7    0      10.25   0.0223   17.0    GI6_001052_GUVICS052         1628.05     ...                          ...         F  
  179   70-125    1231  7631   4473   ...    12:29:48.87    +13:25:45.7    0      4.04    0.0281   17.0    GI1_109011_NGC4477           1720.4      GI1_109011_NGC4477           1720.4      ...
  180   70-129    1253  7638   4477   ...    12:30:02.17    +13:38:11.2    1      3.6     0.0319   17.0    GI1_109010_NGC4459           1570.85     GI1_109010_NGC4459           1570.85     ...
  181   70-133    1279  7645   4478   ...    12:30:17.42    +12:19:42.8    0      1.89    0.0232   17.0    NGA_Virgo_MOS01              4685.95     NGA_Virgo_MOS01              1576.1      ...
  182   42-139    1290  7647   4480   ...    12:30:26.78    +04:14:47.3    7      2.01    0.0242   17.0    GI6_001055_GUVICS055         1649.15     AIS_228                      217.0       ...
  183   70-139    1316  7654   4486   ...    12:30:49.42    +12:23:28.0    0      11.0    0.023    17.0    NGA_Virgo_MOS01              4685.95     NGA_Virgo_MOS01              1576.1      ...
  184   70-140    1326  7657   4491   ...    12:30:57.13    +11:29:00.8    3      1.89    0.0416   17.0    NGA_Virgo_MOS06              4451.1      NGA_Virgo_MOS06              1600.0      ...
  185   42-141    1330  7656   4492   ...    12:30:59.74    +08:04:40.6    3      1.96    0.0254   17.0    GI6_001052_GUVICS052         1628.05     AIS_228                      104.0       ...
  186   129-005   ...   7662   4494   ...    12:31:24.03    +25:46:29.9    0      4.79    0.0208   18.71   ...                          ...         ...                          ...         S  
  187   42-144    1375  7668   4505   ...    12:31:39.21    +03:56:22.1    11     4.76    0.0245   17.0    GI6_012061_HRS182_187        2335.0      AIS_228                      110.3       ...
  188   99-075    1379  7669   4498   ...    12:31:39.57    +16:51:10.1    9      2.85    0.0293   17.0    GI1_079011_NGC4498           3041.15     GI1_079011_NGC4498           3041.15     ...
  189   99-077    1393  7676   ...    797    12:31:54.76    +15:07:26.2    7      1.69    0.0307   17.0    GI6_001056_GUVICS056         1620.1      AIS_227                      106.0       ...
  190   99-076    1401  7675   4501   ...    12:31:59.22    +14:25:13.5    5      7.23    0.038    17.0    GI6_001060_GUVICS060         1719.6      AIS_223                      107.0       ...
  191   99-078    1410  7677   4502   ...    12:32:03.35    +16:41:15.8    8      1.48    0.0291   17.0    GI1_079011_NGC4498           3041.15     GI1_079011_NGC4498           3041.15     ...
  192   70-152    1419  7682   4506   ...    12:32:10.53    +13:25:10.6    3      2.16    0.0287   17.0    NGA_Virgo_MOS11              3842.3      NGA_Virgo_MOS11              1581.05     ...
  193   70-157    1450  7695   ...    3476   12:32:41.88    +14:03:01.8    12     2.6     0.0358   17.0    GI6_001060_GUVICS060         1719.6      AIS_223                      107.0       ...
  194   14-063    ...   7694   4517   ...    12:32:45.59    +00:06:54.1    8      11.0    0.0238   17.0    GI1_033005_NGC4517           6402.6      GI1_033005_NGC4517           1906.35     ...
  195   99-087    1479  7703   4516   ...    12:33:07.56    +14:34:29.8    4      2.16    0.036    17.0    GI6_001060_GUVICS060         1719.6      ...                          ...         F  
  196   70-167    1508  7709   4519   ...    12:33:30.25    +08:39:17.1    9      3.6     0.0202   17.0    GI1_079013_NGC4522           2496.05     GI1_079013_NGC4522           2496.05     ...
  197   70-168    1516  7711   4522   ...    12:33:39.66    +09:10:29.5    8      4.04    0.0207   17.0    GI1_079013_NGC4522           2496.05     GI1_079013_NGC4522           2496.05     ...
  198   159-016   ...   7714   4525   ...    12:33:51.19    +30:16:39.1    8      3.0     0.0229   16.77   GI6_012064_HRS198            1648.0      AIS_113                      96.0        ...
  199   99-090    1532  7716   ...    800    12:33:56.66    +15:21:17.4    7      1.96    0.0377   17.0    GI6_001061_GUVICS061         1629.05     AIS_223                      128.0       ...
  200   42-155    1535  7718   4526   ...    12:34:03.03    +07:41:56.9    1      7.0     0.0223   17.0    GI3_041007_NGC4526           1660.2      GI3_041007_NGC4526           1660.2      ...
  201   42-156    1540  7721   4527   ...    12:34:08.50    +02:39:13.7    6      5.86    0.0219   17.0    GI6_012065_HRS201            1680.15     AIS_228                      103.0       ...
  202   70-173    1549  7728   ...    3510   12:34:14.79    +11:04:17.7    -2     1.1     0.03     17.0    GI2_125031_AGESstrip2_09     1706.0      GI2_125031_AGESstrip2_09     1706.0      ...
  203   42-158    1554  7726   4532   ...    12:34:19.33    +06:28:03.7    12     2.6     0.0212   17.0    GI1_079014_NGC4532           2968.25     GI1_079014_NGC4532           1343.9      ...
  204   42-159    1555  7727   4535   ...    12:34:20.31    +08:11:51.9    7      8.33    0.0194   17.0    GI3_041007_NGC4526           1660.2      GI3_041007_NGC4526           1660.2      ...
  205   14-068    1562  7732   4536   ...    12:34:27.13    +02:11:16.4    6      7.23    0.0183   17.0    NGA_NGC4536                  1762.05     NGA_NGC4536                  1280.0      ...
  206   42-162    1575  7736   ...    3521   12:34:39.42    +07:09:36.0    15     2.0     0.0218   17.0    GI2_125007_AGESstrip1_07     3156.35     GI2_125007_AGESstrip1_07     1665.1      ...
  207   99-093    1588  7742   4540   ...    12:34:50.87    +15:33:05.2    8      2.6     0.0349   17.0    GI6_001061_GUVICS061         1629.05     AIS_223                      128.0       ...
  208   99-096    1615  7753   4548   ...    12:35:26.43    +14:29:46.8    5      6.0     0.0379   17.0    GI2_034006_Malin1            3154.15     GI2_034006_Malin1            3154.15     ...
  209   ...       ...   ...    4546   ...    12:35:29.51    -03:47:35.5    1      3.31    0.0339   15.0    MISDR1_13830_0335            2899.0      MISDR1_13830_0335            1191.0      ...
  210   70-182    1619  7757   4550   ...    12:35:30.61    +12:13:15.4    1      3.95    0.0403   17.0    NGA_Virgo_MOS03              4738.45     NGA_Virgo_MOS03              1588.15     ...
  211   70-184    1632  7760   4552   ...    12:35:39.88    +12:33:21.7    0      7.23    0.0409   17.0    NGA_Virgo_MOS03              4738.45     NGA_Virgo_MOS03              1588.15     ...
  212   99-098    ...   7768   4561   ...    12:36:08.14    +19:19:21.4    10     1.51    0.0263   20.14   GI6_012067_HRS212            1512.25     AIS_222                      96.0        ...
  213   129-010   ...   7772   4565   ...    12:36:20.78    +25:59:15.6    5      14.18   0.0154   17.61   GI1_097007_NGC4565           1693.05     GI1_097007_NGC4565           1693.05     ...
  214   70-186    1664  7773   4564   ...    12:36:26.99    +11:26:21.5    0      4.33    0.0335   17.0    GI2_125031_AGESstrip2_09     1706.0      GI2_125031_AGESstrip2_09     1706.0      ...
  215   70-189    1673  7777   4567   ...    12:36:32.71    +11:15:28.8    6      2.92    0.0326   17.0    GI2_125031_AGESstrip2_09     1706.0      GI2_125031_AGESstrip2_09     1706.0      ...
  216   70-188    1676  7776   4568   ...    12:36:34.26    +11:14:20.0    6      5.1     0.0325   17.0    GI2_125031_AGESstrip2_09     1706.0      GI2_125031_AGESstrip2_09     1706.0      ...
  217   70-192    1690  7786   4569   ...    12:36:49.80    +13:09:46.3    4      10.73   0.0469   17.0    NGA_Virgo_MOS12              4738.5      NGA_Virgo_MOS12              1594.05     ...
  218   42-178    1692  7785   4570   ...    12:36:53.40    +07:14:48.0    1      3.52    0.0217   17.0    GI1_109013_NGC4570           1653.3      GI1_109013_NGC4570           1653.3      ...
  219   70-195    1720  7793   4578   ...    12:37:30.55    +09:33:18.4    1      3.77    0.0207   17.0    GI1_077012_TYC8742271        2233.1      GI1_077012_TYC8742271        2233.1      ...
  220   70-197    1727  7796   4579   ...    12:37:43.52    +11:49:05.5    5      6.29    0.0407   17.0    NGA_Virgo_MOS07              4495.15     NGA_Virgo_MOS07              1575.1      ...
  221   42-183    1730  7794   4580   ...    12:37:48.40    +05:22:06.4    3      2.16    0.0241   17.0    GI1_079015_NGC4580           3037.05     GI1_079015_NGC4580           1403.6      ...
  222   70-199    1757  7803   4584   ...    12:38:17.89    +13:06:35.5    3      1.96    0.0371   17.0    NGA_Virgo_MOS12              4738.5      NGA_Virgo_MOS12              1594.05     ...
  223   42-186    1758  7802   ...    ...    12:38:20.82    +07:53:28.7    10     1.89    0.0294   17.0    GI2_125005_AGESstrip1_05     1661.05     GI2_125005_AGESstrip1_05     1661.05     ...
  224   42-187    1760  7804   4586   ...    12:38:28.44    +04:19:08.8    3      4.33    0.0368   17.0    GI6_012068_HRS224            1742.2      ...                          ...         F  
  225   70-202    1778  7817   ...    3611   12:39:04.14    +13:21:48.7    5      1.76    0.0358   17.0    GI6_001072_GUVICS072         1525.1      AIS_223                      109.0       ...
  226   42-191    1780  7821   4591   ...    12:39:12.44    +06:00:44.3    5      1.96    0.0216   17.0    GI1_079015_NGC4580           3037.05     GI1_079015_NGC4580           1403.6      ...
  227   14-091    ...   7819   4592   ...    12:39:18.74    -00:31:55.2    10     5.75    0.0224   15.27   GI6_012069_HRS227            1600.25     AIS_229                      90.1        ...
  228   ...       ...   ...    ...    ...    12:39:22.26    -05:39:53.3    13     0.43    0.025    171.3   GI6_012070_HRS228            1660.65     ...                          ...         F  
  229   70-204    1809  7825   ...    3631   12:39:48.02    +12:58:26.1    5      1.1     0.0384   17.0    GI6_001074_GUVICS074         2862.3      ...                          ...         F  
  230   99-106    1811  7826   4595   ...    12:39:51.91    +15:17:52.1    5      2.16    0.0367   17.0    GI6_001070_GUVICS070         1630.2      AIS_223                      107.0       ...
  231   70-206    1813  7828   4596   ...    12:39:55.94    +10:10:33.9    1      4.76    0.0223   17.0    GI1_109024_NGC4596           1661.05     GI1_109024_NGC4596           1661.05     ...
  232   70-213    1859  7839   4606   ...    12:40:57.56    +11:54:43.6    3      5.1     0.0317   17.0    GI2_125029_AGESstrip2_07     1658.1      GI2_125029_AGESstrip2_07     1658.1      ...
  233   70-216    1868  7843   4607   ...    12:41:12.41    +11:53:11.9    5      3.95    0.0315   17.0    GI3_041008_NGC4621           1652.2      GI3_041008_NGC4621           1652.2      ...
  234   70-214    1869  7842   4608   ...    12:41:13.29    +10:09:20.9    1      4.3     0.0169   17.0    ...                          ...         ...                          ...         S  
  235   42-205    1883  7850   4612   ...    12:41:32.76    +07:18:53.2    1      2.16    0.025    17.0    NGA_NGC4612                  366.0       ...                          ...         F  
  236   70-223    1903  7858   4621   ...    12:42:02.32    +11:38:48.9    0      7.67    0.0316   17.0    GI3_041008_NGC4621           1652.2      GI3_041008_NGC4621           1652.2      ...
  237   42-208    1923  7871   4630   ...    12:42:31.15    +03:57:37.3    12     2.31    0.0298   17.0    GI6_012072_HRS237            1704.0      AIS_228                      287.0       ...
  238   14-109    ...   7869   4629   ...    12:42:32.67    -01:21:02.4    11     1.38    0.0371   15.94   ...                          ...         ...                          ...         S  
  239   99-112    1932  7875   4634   ...    12:42:40.96    +14:17:45.0    8      2.92    0.0278   17.0    GI5_057006_NGC4634           5965.35     GI5_057006_NGC4634           2602.2      ...
  240   70-229    1938  7880   4638   ...    12:42:47.43    +11:26:32.9    1      2.01    0.0255   17.0    GI1_109003_NGC4660           3113.25     GI1_109003_NGC4660           1624.1      ...
  241   43-002    1939  7878   4636   ...    12:42:49.87    +02:41:16.0    0      9.63    0.0287   17.0    GI6_012074_HRS241            1693.05     ...                          ...         F  
  242   70-230    1943  7884   4639   ...    12:42:52.37    +13:15:26.9    6      3.2     0.0259   17.0    GI6_001074_GUVICS074         2862.3      AIS_223                      112.0       ...
  243   15-008    ...   7895   4643   ...    12:43:20.14    +01:58:42.1    2      3.0     0.0304   17.0    GI6_012074_HRS241            1693.05     ...                          ...         F  
  244   71-015    1972  7896   4647   ...    12:43:32.45    +11:34:57.4    7      2.6     0.0263   17.0    GI1_109003_NGC4660           3113.25     GI1_109003_NGC4660           1624.1      ...
  245   71-016    1978  7898   4649   ...    12:43:40.01    +11:33:09.4    0      5.1     0.0265   17.0    GI1_109003_NGC4660           3113.25     GI1_109003_NGC4660           1624.1      ...
  246   100-004   ...   7901   4651   ...    12:43:42.63    +16:23:36.2    7      3.9     0.0269   17.0    GI1_079016_NGC4651           2588.0      GI1_079016_NGC4651           2588.0      ...
  247   71-019    1987  7902   4654   ...    12:43:56.58    +13:07:36.0    8      4.99    0.026    17.0    AIS_223                      185.0       AIS_223                      112.0       ...
  248   71-023    2000  7914   4660   ...    12:44:31.97    +11:11:25.9    0      1.89    0.0345   17.0    GI1_109003_NGC4660           3113.25     GI1_109003_NGC4660           1624.1      ...
  249   71-026    2006  7920   ...    3718   12:44:45.99    +12:21:05.2    5      2.6     0.0293   17.0    GI2_125027_AGESstrip2_05     1649.25     GI2_125027_AGESstrip2_05     1649.25     ...
  250   43-018    ...   7924   4665   ...    12:45:05.96    +03:03:20.5    2      4.5     0.0241   17.0    MISDR1_13700_0522            1014.05     MISDR1_13700_0522            1014.05     ...
  251   15-015    ...   7926   4666   ...    12:45:08.59    -00:27:42.8    7      4.57    0.0248   21.61   NGA_NGC4666                  5940.25     NGA_NGC4666                  5939.25     ...
  252   15-016    ...   7931   4668   ...    12:45:32.14    -00:32:05.0    9      1.38    0.0246   23.13   NGA_NGC4666                  5940.25     NGA_NGC4666                  5939.25     ...
  253   15-019    ...   7951   4684   ...    12:47:17.52    -02:43:38.6    1      2.88    0.0274   21.29   GI1_009009_NGC4691           6578.65     GI1_009009_NGC4691           1677.05     ...
  254   71-043    2058  7965   4689   ...    12:47:45.56    +13:45:46.1    6      5.86    0.0226   17.0    ...                          ...         ...                          ...         S  
  255   43-028    ...   7961   4688   ...    12:47:46.46    +04:20:09.9    8      4.4     0.0305   17.0    AIS_228                      202.0       AIS_228                      110.0       ...
  256   15-023    ...   ...    4691   ...    12:48:13.63    -03:19:57.8    3      2.82    0.0276   15.99   GI1_009009_NGC4691           6578.65     GI1_009009_NGC4691           1677.05     ...
  257   71-045    2070  7970   4698   ...    12:48:22.92    +08:29:14.3    4      5.67    0.0259   17.0    GI1_079018_NGC4698           2642.15     GI1_079018_NGC4698           2642.15     ...
  258   ...       ...   ...    4697   ...    12:48:35.91    -05:48:03.1    0      7.24    0.0295   17.73   GI4_085003_NGC4697           1681.15     GI4_085003_NGC4697           1681.15     ...
  259   43-034    ...   7975   4701   ...    12:49:11.56    +03:23:19.4    8      3.6     0.0295   17.0    ...                          ...         ...                          ...         S  
  260   100-011   ...   7980   4710   ...    12:49:38.96    +15:09:55.8    1      4.3     0.0294   17.0    GI5_057007_NGC4710           7286.45     GI5_057007_NGC4710           2579.25     ...
  261   43-040    ...   7982   ...    ...    12:49:50.19    +02:51:10.4    9      3.39    0.0347   16.54   MISDR1_13822_0522            1174.1      MISDR1_13822_0522            1183.1      ...
  262   43-041    ...   7985   4713   ...    12:49:57.87    +05:18:41.1    9      3.2     0.028    17.0    GI6_012078_HRS262            1670.1      AIS_228                      186.0       ...
  263   129-027   ...   7989   4725   ...    12:50:26.61    +25:30:02.7    4      9.66    0.0118   17.27   GI6_012079_HRS263            1656.3      AIS_219                      168.0       ...
  264   15-027    ...   7991   ...    ...    12:50:38.96    +01:27:52.3    9      1.7     0.0247   18.17   MISDR1_13823_0522            1212.15     MISDR1_13823_0522            1212.15     ...
  265   ...       ...   ...    4720   ...    12:50:42.78    -04:09:21.0    13     0.65    0.0257   21.49   GI6_012080_HRS265            1674.1      ...                          ...         E  
  266   ...       ...   ...    4731   ...    12:51:01.09    -06:23:35.0    8      6.61    0.0319   21.3    GI6_012082_HRS266_275        1680.0      AIS_229                      109.05      ...
  267   129-028   ...   8005   4747   ...    12:51:45.96    +25:46:38.3    8      3.95    0.0104   16.84   GI1_039002_Coma_MOS02        2607.15     GI1_039002_Coma_MOS02        1674.1      ...
  268   71-060    ...   8007   4746   ...    12:51:55.37    +12:04:58.9    5      2.2     0.0358   17.0    GI2_125024_AGESstrip2_02     1654.25     GI2_125024_AGESstrip2_02     1654.25     ...
  269   71-062    2092  8010   4754   ...    12:52:17.56    +11:18:49.2    1      5.03    0.0327   17.0    GI5_057008_NGC4762           7324.3      GI5_057008_NGC4762           2561.1      ...
  270   15-029    ...   8009   4753   ...    12:52:22.11    -01:11:58.9    13     6.03    0.0327   17.7    MISDR1_13951_0292            1370.05     MISDR1_13951_0292            1370.05     ...
  271   100-015   ...   8014   4758   ...    12:52:44.04    +15:50:55.9    12     3.0     0.0261   17.0    GI6_012081_HRS271            1046.5      AIS_223                      108.0       ...
  272   71-065    2095  8016   4762   ...    12:52:56.05    +11:13:50.9    1      8.7     0.0214   17.0    GI5_057008_NGC4762           7324.3      GI5_057008_NGC4762           2561.1      ...
  273   15-031    ...   8020   4771   ...    12:53:21.27    +01:16:09.0    9      4.0     0.0197   17.0    MISDR1_13885_0523            1246.4      MISDR1_13885_0523            1246.4      ...
  274   15-032    ...   8021   4772   ...    12:53:29.17    +02:10:06.0    3      2.9     0.0267   17.0    MISDR1_13885_0523            1246.4      MISDR1_13885_0523            1246.4      ...
  275   ...       ...   ...    4775   ...    12:53:45.70    -06:37:19.8    9      2.14    0.035    22.37   GI6_012082_HRS266_275        1680.0      AIS_229                      109.0       ...
  276   71-068    ...   8022   4779   ...    12:53:50.86    +09:42:35.7    6      2.1     0.0219   17.0    AIS_223                      247.0       AIS_223                      247.0       ...
  277   43-060    ...   ...    4791   ...    12:54:43.97    +08:03:10.7    17     1.2     0.0337   17.0    GI6_012083_HRS281            1184.0      AIS_224                      106.0       ...
  278   71-071    ...   8032   ...    ...    12:54:44.19    +13:14:14.2    5      2.75    0.0359   16.01   GI6_012084_HRS278            1585.2      AIS_223                      109.0       ...
  279   15-037    ...   8041   ...    ...    12:55:12.68    +00:07:00.0    9      3.1     0.0221   17.0    GI1_052002_KIG557            15319.15    GI1_052002_KIG557            7048.1      ...
  280   43-066    ...   8043   4799   ...    12:55:15.53    +02:53:47.9    5      1.6     0.034    17.0    MISDR1_13884_0523            2497.35     MISDR1_13884_0523            2497.35     ...
  281   43-068    ...   8045   ...    ...    12:55:23.62    +07:54:34.0    12     0.91    0.0409   17.0    GI6_012083_HRS281            1184.0      AIS_224                      106.0       ...
  282   43-069    ...   ...    4803   ...    12:55:33.67    +08:14:25.8    17     0.5     0.0306   17.0    GI6_012076_HRS277            1542.25     ...                          ...         F  
  283   43-071    ...   8054   4808   ...    12:55:48.94    +04:18:14.7    8      2.6     0.0368   17.0    GI6_012085_HRS283            1568.0      AIS_224                      110.0       ...
  284   ...       ...   ...    ...    3908   12:56:40.62    -07:33:46.1    9      1.82    0.0349   18.51   GI6_012086_HRS284            1645.0      ...                          ...         F  
  285   15-049    ...   8078   4845   ...    12:58:01.19    +01:34:33.0    4      5.2     0.0197   17.0    GI6_012087_HRS285            2163.4      AIS_224                      92.0        ...
  286   71-092    ...   8102   4866   ...    12:59:27.14    +14:10:15.8    1      6.0     0.0278   17.0    AIS_223                      292.1       AIS_223                      110.0       ...
  287   15-055    ...   8121   4904   ...    13:00:58.67    -00:01:38.8    8      2.4     0.0306   17.0    GI1_009034_NGC4897           3038.4      GI1_009034_NGC4897           1563.55     ...
  288   ...       ...   ...    4941   ...    13:04:13.14    -05:33:05.8    4      3.63    0.0362   15.91   GI6_012088_HRS288            1672.2      ...                          ...         F  
  289   ...       ...   ...    4981   ...    13:08:48.74    -06:46:39.1    6      2.75    0.0422   23.97   GI6_012089_HRS289            2229.1      AIS_230                      103.0       ...
  290   189-037   ...   8271   5014   ...    13:11:31.16    +36:16:54.9    3      1.7     0.0078   16.23   GI6_012090_HRS290            1623.0      AIS_108                      205.0       ...
  291   217-031   ...   8388   5103   ...    13:20:30.08    +43:05:02.3    4      1.45    0.0178   18.53   GI6_012091_HRS291            2103.05     AIS_108                      224.0       ...
  292   218-010   ...   8439   5145   ...    13:25:13.92    +43:16:02.2    5      2.0     0.0121   17.5    GI6_012092_HRS292            1647.0      AIS_108                      224.0       ...
  293   16-069    ...   8443   5147   ...    13:26:19.71    +02:06:02.7    10     1.91    0.0271   15.6    AIS_224                      110.0       AIS_224                      110.0       ...
  294   246-017   ...   8593   ...    902    13:36:01.22    +49:57:39.0    5      2.19    0.0108   22.97   GI6_012094_HRS294            2345.1      AIS_104                      96.0        ...
  295   73-054    ...   8616   5248   ...    13:37:32.07    +08:53:06.2    6      6.17    0.0245   16.46   AIS_221                      112.0       AIS_221                      112.0       ...
  296   190-041   ...   8675   5273   ...    13:42:08.34    +35:39:15.2    1      2.75    0.0102   15.2    GI3_079025_NGC5273           1659.05     GI3_079025_NGC5273           1659.05     ...
  297   246-023   ...   8711   5301   ...    13:46:24.61    +46:06:26.7    6      4.17    0.0173   21.54   GI5_014002_SN2009at          4657.15     GI5_014002_SN2009at          1549.05     ...
  298   218-047   ...   8725   5303   ...    13:47:44.97    +38:18:16.4    13     0.91    0.0139   20.27   GI6_012095_HRS298            1614.8      AIS_109                      91.05       ...
  299   45-108    ...   8727   5300   ...    13:48:16.04    +03:57:03.1    7      3.89    0.023    16.73   AIS_221                      232.0       AIS_221                      120.0       ...
  300   218-058   ...   8756   ...    ...    13:50:35.89    +42:32:29.5    4      1.7     0.0142   19.34   GI6_012097_HRS300            1088.5      ...                          ...         F  
  301   17-088    ...   8790   5334   4338   13:52:54.46    -01:06:52.7    7      4.17    0.0459   19.71   AIS_236                      190.0       AIS_236                      112.0       ...
  302   45-137    ...   8821   5348   ...    13:54:11.27    +05:13:38.8    6      3.55    0.0292   20.61   PS_VISTA_MOS04               18458.35    PS_VISTA_MOS04               16943.35    ...
  303   295-024   ...   8843   5372   ...    13:54:46.01    +58:39:59.4    5      0.65    0.0098   24.53   GI6_012099_HRS303            1623.15     AIS_101                      132.05      ...
  304   46-001    ...   8831   5356   ...    13:54:58.46    +05:20:01.4    6      3.09    0.0251   19.57   PS_VISTA_MOS04               18458.35    PS_VISTA_MOS04               16943.35    ...
  305   46-003    ...   8838   5360   958    13:55:38.75    +04:59:06.2    13     2.19    0.0288   16.73   PS_VISTA_MOS04               18458.35    PS_VISTA_MOS04               16943.35    ...
  306   46-007    ...   8847   5363   ...    13:56:07.21    +05:15:17.2    13     4.07    0.027    16.23   PS_VISTA_MOS04               18458.35    PS_VISTA_MOS04               16943.35    ...
  307   46-009    ...   8853   5364   ...    13:56:12.00    +05:00:52.1    6      6.76    0.0272   17.74   PS_VISTA_MOS04               18458.35    PS_VISTA_MOS04               16943.35    ...
  308   46-011    ...   8857   ...    ...    13:56:26.61    +04:23:48.0    5      0.91    0.0326   15.59   PS_VISTA_MOS06               18866.55    PS_VISTA_MOS06               18866.55    ...
  309   272-031   ...   9036   5486   ...    14:07:24.97    +55:06:11.1    11     1.86    0.0203   19.76   GI3_079027_NGC5485           1680.0      GI3_079027_NGC5485           1680.0      ...
  310   47-010    ...   9172   5560   ...    14:20:05.42    +03:59:28.4    5      3.72    0.0303   24.54   MISDR1_33712_0584            2504.1      MISDR1_33712_0584            2504.1      ...
  311   47-012    ...   9175   5566   ...    14:20:19.95    +03:56:00.9    4      6.61    0.0311   21.31   MISDR1_33712_0584            2504.1      MISDR1_33712_0584            2504.1      ...
  312   47-020    ...   9183   5576   ...    14:21:03.68    +03:16:15.6    0      3.55    0.0305   21.17   MISDR1_33712_0584            2504.1      MISDR1_33712_0584            2504.1      ...
  313   47-022    ...   9187   5577   ...    14:21:13.11    +03:26:08.8    6      3.39    0.0404   21.29   MISDR1_33712_0584            2504.1      MISDR1_33712_0584            2504.1      ...
  314   19-012    ...   9215   ...    ...    14:23:27.12    +01:43:34.7    9      2.19    0.0322   19.84   WDST_J1423p0149              9142.25     WDST_J1423p0149              8335.15     ...
  315   220-015   ...   9242   ...    ...    14:25:21.02    +39:32:22.5    7      5.01    0.0101   20.57   AIS_109                      172.0       AIS_109                      166.0       ...
  316   47-063    ...   9308   5638   ...    14:29:40.39    +03:14:00.2    0      2.69    0.0326   23.94   MISDR1_33710_0585            1690.1      MISDR1_33710_0585            1690.1      ...
  317   47-066    ...   9311   ...    1022   14:30:01.85    +03:46:22.3    5      1.1     0.033    24.51   MISDR1_33710_0585            1690.1      MISDR1_33710_0585            1690.1      ...
  318   47-070    ...   9328   5645   ...    14:30:39.35    +07:16:30.3    9      2.4     0.0272   19.57   MISWZN15_33606_0360          1684.05     MISWZN15_33606_0360          1684.05     ...
  319   75-064    ...   9353   5669   ...    14:32:43.88    +09:53:30.5    8      3.98    0.0272   19.54   MISGCSN_33538_1709           1543.15     AIS_358                      224.0       ...
  320   47-090    ...   9363   5668   ...    14:33:24.34    +04:27:01.6    9      3.31    0.0365   22.61   MISDR1_33682_0585            1704.0      MISDR1_33682_0585            1704.0      ...
  321   47-123    ...   9427   5692   ...    14:38:18.12    +03:24:37.2    5      0.89    0.0371   22.59   MISDR1_33708_0586            1696.0      MISDR1_33708_0586            1696.0      ...
  322   47-127    ...   9436   5701   ...    14:39:11.06    +05:21:48.8    3      4.27    0.0378   21.5    MISDR1_33654_0586            1696.0      MISDR1_33654_0586            1696.0      ...
  323   48-004    ...   9483   ...    1048   14:42:57.88    +04:53:24.5    5      2.24    0.037    23.43   MISWZN15_33653_0360          2316.65     MISWZN15_33653_0360          2316.65     ...
