#      HRS          Re_FUV        RISO_FUV       mue_FUV          Re_NUV       RISO_NUV       mue_NUV         Re_g          RISO_g         mue_g           Re_r          RISO_r        mue_r           Re_i          RISO_i         mue_i
       219           30.8           20.2          27.49           41.1           65.7          26.21          29.6           88.0          20.89           28.8           93.3         20.07           28.3           90.8          19.64  
       220           64.3          107.6          25.60           64.9          134.2          24.81          61.5          177.3          20.74           58.8          185.5         19.89           59.6          185.1          19.49  
       221           17.9           33.5          24.68           18.9           56.4          23.75          30.0           70.0          21.31           29.9           73.0         20.58           30.1           71.9          20.19  
       222            5.3           17.7          23.46           13.6           42.2          24.29          22.4           46.4          21.75           22.0           48.0         21.12           23.4           46.5          20.87  
       223           28.0           60.1          24.98           27.9           71.2          24.48          28.4           55.3          22.08           29.0           55.7         21.59           28.9           52.8          21.30  
       224            ...            ...           ...            58.1           89.1          26.36          53.8          113.5          21.59           51.4          118.2         20.70           50.9          118.7          20.20  
       225           10.5           39.4          23.80           13.7           49.9          23.59          19.1           44.0          21.58           21.0           45.8         21.32           21.8           42.5          21.14  
       226           22.1           56.7          24.53           20.4           60.0          23.92          17.6           47.1          21.04           16.7           47.6         20.30           16.5           46.5          19.91  
       227           64.2          282.0          23.54           61.5          255.6          23.11          52.9          127.4          21.30           51.9          120.1         20.90           51.4          108.8          20.70  
       228            ...            ...           ...             8.9            8.2          27.51           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       229            ...            ...           ...             7.1           34.6          22.43          12.3           32.6          20.87           12.8           33.8         20.42           13.9           33.4          20.30  
       230           26.3           59.5          23.91           25.9           69.4          23.45          24.5           58.5          21.08           24.1           58.3         20.61           23.9           55.4          20.37  
       231           45.5           29.8          27.34           44.9           77.7          25.95          45.8          130.5          20.96           44.1          138.3         20.10           44.5          136.1          19.71  
       232           25.1           32.4          26.21           37.2           80.2          25.30          38.0           90.3          21.35           36.7           94.0         20.67           37.6           92.5          20.34  
       233           40.5           58.3          26.59           44.9           88.7          25.82          45.3           90.4          22.07           42.2           92.2         21.18           40.5           90.4          20.66  
       234            ...            ...           ...             ...            ...           ...           31.9          102.0          20.85           30.8          106.4         20.03           28.7          102.8          19.48  
       235            ...            ...           ...            21.8           46.1          25.15          27.2           81.1          20.67           25.2           84.4         19.95           24.8           82.4          19.53  
       236           94.4           39.4          27.93           65.7           89.8          26.09          47.7          157.8          20.47           45.9          176.2         19.61           46.0          171.7          19.15  
       237           16.9           60.8          23.35           15.9           64.2          22.75          24.4           59.1          21.32           25.4           60.6         20.82           27.1           58.8          20.64  
       238            ...            ...           ...             ...            ...           ...           20.0           39.9          22.05           19.9           36.4         21.70           19.7           33.7          21.48  
       239           42.3          104.7          24.87           46.2          132.1          24.32          45.4          107.7          21.34           43.6          108.7         20.65           43.3          105.6          20.26  
       240           11.7           19.8          25.57           18.2           51.9          24.66          17.5           70.9          19.73           18.9           75.3         19.20           19.0           73.6          18.80  
       241            ...            ...           ...           101.7          154.2          26.33          96.7          261.3          21.34           87.3          267.0         20.42           86.7          260.3          19.96  
       242           47.1          124.9          24.50           43.2          119.4          23.97          31.8           87.6          20.90           29.8           86.0         20.17           28.9           82.6          19.75  
       243            ...            ...           ...            54.4           92.4          26.30          37.0          119.1          20.53           38.5          126.4         19.88           36.9          123.7          19.37  
       244           38.0           79.5          24.60           36.5          102.9          23.72          44.8          124.7          21.26           45.1          133.1         20.63           46.3          130.5          20.32  
       245           31.7           86.7          24.44           48.9          135.9          24.68          63.5          249.9          20.21           59.6          276.5         19.27           59.8          273.3          18.81  
       246           55.6          127.6          24.31           49.0          145.7          23.57          40.5          115.1          20.59           38.6          115.4         19.92           36.6          109.5          19.50  
       247           75.5          187.4          24.48           70.6          186.9          23.90          66.1          155.3          21.38           61.9          151.1         20.70           59.7          143.0          20.32  
       248           15.3           23.2          25.64           24.7           56.0          25.00          16.0           65.7          19.59           17.2           70.6         19.06           17.6           68.4          18.72  
       249           15.8           32.8          25.08           29.8           70.7          25.07          34.0           65.8          22.17           35.1           67.2         21.69           35.6           62.9          21.43  
       250           39.4           24.8          27.49           45.0           80.7          26.07          39.4          119.8          20.88           41.9          128.1         20.24           40.5          124.5          19.76  
       251           74.5          156.5          24.90           70.4          180.1          24.19          53.5          147.8          20.58           50.0          151.2         19.72           46.8          149.3          19.14  
       252           21.1           64.8          23.39           21.0           71.7          22.97          20.5           47.0          21.18           20.6           46.5         20.80           20.7           44.2          20.60  
       253            8.3           47.5          22.13           14.1           85.9          22.35          23.2           88.2          19.73           23.8           91.7         19.11           25.0           91.3          18.81  
       254            ...            ...           ...             ...            ...           ...           59.0          121.5          21.86           61.3          132.9         21.28           61.0          126.7          20.94  
       255           54.6          127.5          24.90           51.2          125.1          24.60          45.8           69.3          22.78           44.3           65.3         22.40           44.8           57.5          22.23  
       256            9.9           78.2          20.60           11.1           88.5          20.36          28.1          101.5          20.22           34.3          106.8         20.06           37.5          103.9          19.98  
       257          143.1           82.4          27.86          114.6          151.5          26.45          55.4          180.8          20.75           52.0          189.0         19.89           52.6          184.6          19.49  
       258           52.2           51.5          26.82           79.5          143.9          25.77          64.4          238.0          20.40           61.5          251.4         19.56           61.5          247.4          19.13  
       259            ...            ...           ...             ...            ...           ...           23.5           65.0          20.95           21.6           60.6         20.37           22.3           54.6          20.19  
       260           41.8           49.4          26.73           48.6          106.1          25.15          46.1          128.9          20.38           43.8          133.8         19.53           43.4          131.4          19.10  
       261           45.2           69.2          26.20           44.9           87.4          25.50          43.6           86.6          21.94           43.8           89.0         21.33           41.7           88.5          20.77  
       262           35.8          107.3          23.22           35.3          106.7          22.85          32.4           73.0          21.15           31.2           70.4         20.76           30.6           67.4          20.55  
       263          160.9          307.8          25.71          151.8          315.2          25.38         119.9          280.1          21.72          110.0          285.2         20.83          101.2          250.2          20.31  
       264           28.9           49.3          25.67           30.1           62.4          25.11          31.9           61.2          22.08           32.4           64.1         21.46           32.3           61.8          21.10  
       265            ...            ...           ...             7.3           47.9          21.20           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       266           93.7          199.2          25.04           86.9          192.6          24.57           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       267           45.1          124.1          24.69           53.5          144.9          24.61          64.6          123.5          22.36           65.3          123.0         21.81           63.9          110.9          21.49  
       268           26.2           66.1          24.06           26.1           74.8          23.53          25.3           58.8          20.96           23.8           59.2         20.21           23.5           57.7          19.87  
       269           35.4           33.0          26.74           40.8           73.2          25.53          33.2          132.1          20.02           33.0          142.0         19.18           33.3          139.0          18.78  
       270           79.0           38.0          28.16           85.9          141.6          26.12          65.7          207.6          20.68           59.5          219.4         19.71           57.8          215.2          19.20  
       271           53.2          108.8          25.57           45.7          112.0          24.84          51.6          104.4          22.06           51.1          108.6         21.44           51.2          103.1          21.13  
       272           64.2           59.0          26.90           95.8          176.2          25.61          62.5          239.6          20.11           58.8          254.9         19.27           59.6          243.1          18.91  
       273           55.8          111.0          25.31           51.9          119.2          24.56          45.9          107.5          21.26           43.6          109.2         20.49           43.7          108.6          20.07  
       274           52.3           70.2          26.77           56.6           99.7          25.90          51.9          127.6          21.41           53.5          132.8         20.73           50.6          129.4          20.25  
       275           33.7           81.8          23.23           32.7           79.9          22.89           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       276           31.7           65.8          24.59           29.9           68.8          24.03          26.5           58.7          21.64           25.2           58.3         21.00           24.7           55.9          20.68  
       277           11.2           21.9          24.79           11.0           23.7          24.39           9.0           21.3          20.90            8.9           21.8         20.20            8.9           21.8          19.85  
       278           39.9           40.2          27.25           35.0           61.2          26.24          35.4           73.7          21.86           33.6           75.6         21.06           33.2           74.5          20.63  
       279           56.8          124.1          24.89           56.3          129.6          24.52          53.7           92.8          22.51           52.6           91.5         22.04           53.1           87.5          21.78  
       280           19.4           46.6          24.76           17.7           59.2          23.93          13.7           43.3          20.30           13.7           44.2         19.61           13.5           43.2          19.18  
       281           14.0           25.3          24.81           13.6           30.7          24.52          16.1           27.0          22.26           16.9           27.3         21.83           17.6           26.0          21.61  
       282            ...            ...           ...            10.2           21.1          25.61           8.0           26.6          20.22            7.8           28.4         19.46            8.1           29.1          19.09  
       283           41.3          145.5          23.78           38.4          122.6          23.19          31.9           76.3          20.70           29.3           73.7         20.05           28.6           71.5          19.73  
       284            ...            ...           ...            31.9           77.0          25.14           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       285           85.9           70.6          27.68           64.0          111.4          26.14          60.1          139.6          21.29           56.9          145.0         20.37           55.8          144.5          19.86  
       286          119.7          136.8          27.75           86.3          142.2          26.47          47.4          134.8          20.57           44.5          139.2         19.63           45.6          145.2          19.20  
       287           30.9           67.7          24.22           30.4           73.7          23.64          29.6           67.3          21.28           29.1           68.2         20.72           29.4           67.1          20.45  
       288            ...            ...           ...            65.7          125.1          25.14           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       289           49.0          120.4          24.64           46.0          116.0          23.98           ...            ...           ...             ...            ...          ...             ...            ...           ...   
       290           10.4           57.9          22.59           10.9           63.6          22.11          14.1           45.5          19.96           14.4           46.3         19.43           14.8           45.0          19.18  
       291           16.6           16.9          27.13           17.0           36.2          25.45          12.5           46.9          19.92           11.9           50.7         19.08           11.8           47.7          18.69  
       292           45.5           72.0          26.54           26.3           73.6          24.96          12.9           39.0          20.43           12.0           41.1         19.42           12.0           39.7          19.04  
       293           30.0           84.9          23.45           29.7           81.4          23.15          28.0           59.0          21.34           27.2           57.7         20.92           26.9           54.6          20.70  
       294           30.5           60.6          25.51           30.7           72.8          24.85          28.9           62.8          21.60           27.8           64.0         20.84           27.7           62.1          20.44  
       295           87.0          228.0          24.83           71.0          228.2          24.00          63.7          165.0          21.26           61.3          166.7         20.56           59.8          150.0          20.15  
       296            8.7           15.6          24.57           28.1           57.9          25.57          31.4           73.0          21.40           30.2           75.0         20.60           30.6           73.7          20.24  
       297           64.7          107.7          25.29           63.9          125.4          24.62          54.2          110.7          21.62           51.0          112.0         20.87           50.1          110.8          20.45  
       298           11.9           53.2          22.18           11.8           54.5          21.81          11.2           31.4          19.82           11.2           31.1         19.42           11.1           30.2          19.18  
       299           59.0          121.5          24.91           56.0          110.5          24.59          52.9           98.9          22.25           51.6           98.6         21.69           51.3           96.7          21.35  
       300            ...            ...           ...            21.2           46.8          25.36          18.6           46.2          20.94           16.8           47.7         20.00           16.5           47.5          19.54  
       301           68.9          135.4          25.40           64.4          130.1          25.01          59.9          109.3          22.55           57.4          106.2         21.96           57.8           99.7          21.66  
       302           47.9           95.5          25.09           47.9          106.6          24.64          45.5           90.1          22.07           45.3           93.0         21.51           45.2           88.9          21.20  
       303            7.6           34.4          22.11            7.7           42.2          21.66           8.3           24.3          19.89            8.3           24.4         19.41            8.4           24.0          19.22  
       304           38.8           60.7          26.11           41.8           81.1          25.43          45.4           92.2          21.86           43.8           96.6         21.03           44.9           97.0          20.59  
       305            8.9           28.5          23.62           11.6           45.5          23.59          26.0           52.1          22.20           28.5           53.6         21.68           28.6           52.1          21.36  
       306           30.5           45.2          25.82           46.7          100.0          25.40          46.0          174.2          20.31           45.4          188.4         19.53           42.6          179.7          18.95  
       307          103.1          191.3          25.45           99.6          200.6          24.95          91.0          186.0          22.18           83.6          183.9         21.46           81.9          180.0          21.07  
       308            8.4           23.8          24.29           12.2           36.4          24.29          13.2           30.6          21.39           13.7           31.9         20.82           13.9           30.8          20.53  
       309           29.4           58.8          24.39           29.0           61.4          24.04          25.3           49.0          22.12           23.7           47.0         21.65           23.1           44.1          21.41  
       310           27.5           67.3          24.46           28.9           87.6          23.99          32.1           75.3          21.27           29.8           78.9         20.46           28.5           74.9          20.01  
       311           75.7          116.8          26.29           68.0          163.5          25.31          49.3          172.5          20.36           46.6          181.4         19.47           47.0          179.3          19.04  
       312           32.5           23.1          27.19           39.2           77.5          25.54          26.7          113.4          19.96           26.1          123.8         19.18           26.2          118.0          18.80  
       313           46.8           88.2          25.06           46.7           98.2          24.57          44.7           91.6          21.81           44.0           95.0         21.17           43.6           91.8          20.83  
       314           35.9          101.2          23.73           36.4          108.7          23.42          36.2           79.1          21.79           35.8           76.0         21.44           37.2           69.1          21.30  
       315           73.7          155.4          24.62           72.0          173.7          24.21          71.6          122.0          22.51           71.2          116.5         22.15           72.3          106.7          21.98  
       316           21.4           20.6          26.97           28.0           50.6          25.85          24.3           78.5          20.57           24.9           83.9         19.88           24.8           82.6          19.45  
       317           17.2           53.4          24.19           17.7           59.7          23.88          16.3           36.6          21.56           16.2           36.6         21.05           16.9           36.8          20.80  
       318           31.2           76.0          23.69           30.9           90.0          23.20          31.9           76.2          21.28           32.3           76.2         20.87           33.0           73.4          20.68  
       319           58.6          133.3          24.51           56.7          134.6          24.16          52.3           97.9          22.32           49.7           94.9         21.84           49.8           86.6          21.60  
       320           46.1          124.0          24.20           44.2          126.7          23.81          39.4           85.4          21.81           39.4           82.4         21.41           38.6           75.8          21.18  
       321           10.2           38.3          22.22           10.4           46.4          21.89          10.7           31.0          20.04           10.6           30.6         19.61           10.9           30.1          19.44  
       322          103.4          129.5          27.54           99.7          131.5          27.09          36.8          123.6          21.28           34.0          123.5         20.44           32.8          114.8          19.93  
       323           32.2           53.0          25.75           31.2           73.7          24.92          28.3           64.5          21.39           27.4           67.3         20.60           27.4           66.9          20.18  
